"Nom grau","URL grau","Crèdtis grau","Nom assig","URL assig","Crèdits assig","Tipus assig.","Semestre assig.","Menció assig"
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Construcció I","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310004/construccio-i.pdf","7.5","Obligatòria","1",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Expressió Gràfica I","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310003/expressio-grafica-i.pdf","9","Obligatòria","1",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Fonaments Matemàtics de l'Enginyeria en Edificació","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310001/fonaments-matematics-de-lenginyeria-en-edificacio.pdf","6","Obligatòria","1",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Mecànica","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310002/mecanica.pdf","9","Obligatòria","1",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Economia de l'Empresa","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310006/economia-de-lempresa.pdf","7.5","Obligatòria","2",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Estadística Aplicada","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310005/estadistica-aplicada.pdf","6","Obligatòria","2",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Materials de Construcció I","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310008/materials-de-construccio-i.pdf","9","Obligatòria","2",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Seguretat i Salut Laboral","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310007/seguretat-i-salut-laboral.pdf","6","Obligatòria","2",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Construcció II","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310013/construccio-ii.pdf","3","Obligatòria","3",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Estructures I","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310012/estructures-i.pdf","6","Obligatòria","3",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Expressió Gràfica II","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310009/expressio-grafica-ii.pdf","6","Obligatòria","3",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Instal·lacions I","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310010/instal-lacions-i.pdf","6","Obligatòria","3",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Materials de Construcció II","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310011/materials-de-construccio-ii.pdf","9","Obligatòria","3",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Aixecaments i Replantejaments en l'Edificació","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310016/aixecaments-i-replantejaments-en-ledificacio.pdf","6","Obligatòria","4",""
"Grau en Arquitectura Tècnica i Edificació","https://upc.edu/ca/graus/arquitectura-tecnica-i-edificacio-barcelona-epseb","240","Arquitectura, Construcció i Ciutat en la Història d'Occident","https://www.upc.edu/content/../grau/guiadocent/pdf/cat/310018/arquitectura-construccio-i-ciutat-en-la-historia-doccident.pdf","6","Obligatòria","4",""
